id;primary_title;original_title;is_adult;start_year;end_year;runtime_minutes
1;secondary Identity heuristic;Soap compressing application;true;18610;8260;82726
2;Generic primary turn-key;Soap;false;9444;39607;34785
3;Ergonomic Savings;optical Mountain;true;67667;54356;12322
4;Optimization;Ergonomic Flat 1080p;false;53772;37963;20800
5;Unbranded Wooden;redundant Hawaii Executive;false;38049;95987;79897
6;Concrete;middleware Crest;false;65470;2680;21096
7;white grow;empower;true;39786;50947;58765
8;Strategist;Account panel IB;false;9295;50288;62238
9;synergies;Terrace Carolina Trace;true;20031;83241;17199
10;Incredible;Iceland River Games;false;86174;1764;60727
